Gemeente,Gemnr,Aantal
peildatum 13 maart 14:00,-2,
* postcode ontbreekt bij 28 pt en 1 woont in buitenland,-1,13
's-Gravenhage,518,8
's-Hertogenbosch,796,11
Aalsmeer,358,3
Albrandswaard,613,1
Alkmaar,361,1
Almelo,141,1
Almere,34,1
Alphen aan den Rijn,484,4
Altena,1959,8
Amersfoort,307,4
Amstelveen,362,3
Amsterdam,363,20
Apeldoorn,200,2
Arnhem,202,4
Barendrecht,489,1
Beekdaelen,1954,8
Berg en Dal,1945,5
Bergeijk,1724,1
Bergen op Zoom,748,1
Bernheze,1721,13
Best,753,3
Beuningen,209,3
Beverwijk,375,5
Blaricum,376,1
Bloemendaal,377,1
Bodegraven-Reeuwijk,1901,1
Boekel,755,11
Borne,147,3
Borsele,654,1
Boxmeer,756,1
Boxtel,757,1
Breda,758,53
Bronckhorst,1876,2
Buren,214,2
Coevorden,109,11
Cranendonck,1706,2
Cuijk,1684,2
Culemborg,216,2
De Bilt,310,11
De Fryske Marren,1940,2
Delft,503,2
Den Helder,400,1
Deurne,762,3
Diemen,384,2
Dinkelland,1774,3
Dongen,766,4
Dordrecht,505,1
Drimmelen,1719,5
Dronten,303,2
Druten,225,1
Duiven,226,1
Eersel,770,1
Eindhoven,772,12
Elburg,230,1
Emmen,114,1
Enschede,153,3
Ermelo,233,4
Etten-Leur,777,6
Geertruidenberg,779,1
Geldrop-Mierlo,1771,2
Gemert-Bakel,1652,11
Gennep,907,1
Gilze en Rijen,784,1
Goeree-Overflakkee,1924,1
Goes,664,2
Goirle,785,6
Gooise Meren,1942,3
Gouda,513,2
Groningen,14,3
Haaren,788,7
Haarlem,392,4
Harderwijk,243,2
Hardinxveld-Giessendam,523,5
Heemskerk,396,1
Heemstede,397,2
Heerlen,917,2
Heeze-Leende,1658,1
Heiloo,399,2
Hellendoorn,163,2
Hellevoetsluis,530,1
Helmond,794,16
Heusden,797,4
Hilvarenbeek,798,5
Hoeksche Waard,1963,1
Hoogeveen,118,1
Horst aan de Maas,1507,2
Houten,321,13
Huizen,406,1
IJsselstein,353,1
Katwijk,537,1
Krimpen aan den IJssel,542,1
Krimpenerwaard,1931,3
Laarbeek,1659,1
Landerd,1685,4
Landgraaf,882,2
Landsmeer,415,2
Langedijk,416,3
Lansingerland,1621,4
Leeuwarden,80,1
Leiden,546,4
Leidschendam-Voorburg,1916,3
Lelystad,995,3
Leudal,1640,4
Lingewaard,1705,2
Loon op Zand,809,7
Maastricht,935,10
Meierijstad,1948,25
Moerdijk,1709,1
Neder-Betuwe,1740,3
Nederweert,946,1
Nieuwkoop,569,1
Nijmegen,268,8
Nissewaard,1930,1
Noordwijk,575,2
"Nuenen, Gerwen en Nederwetten",820,1
Nunspeet,302,1
Oegstgeest,579,2
Oisterwijk,824,6
Oldebroek,269,1
Oosterhout,826,3
Opsterland,86,2
Oss,828,3
Peel en Maas,1894,8
Pekela,765,1
Pijnacker-Nootdorp,1926,6
Purmerend,439,2
Raalte,177,1
Reimerswaal,703,1
Renkum,274,7
Rheden,275,1
Ridderkerk,597,1
Roermond,957,1
Roosendaal,1674,2
Rotterdam,599,20
Schagen,441,2
Schouwen-Duiveland,1676,2
Simpelveld,965,2
Sint-Michielsgestel,845,5
Sittard-Geleen,1883,23
Smallingerland,90,1
Soest,342,8
Son en Breugel,848,2
Stein,971,1
Stichtse Vecht,1904,6
Súdwest-Fryslân,1900,1
Tiel,281,2
Tilburg,855,67
Tubbergen,183,1
Uden,856,25
Utrecht,344,26
Utrechtse Heuvelrug,1581,2
Veenendaal,345,1
Veere,717,1
Veldhoven,861,1
Velsen,453,1
Venlo,983,2
Vijfheerenlanden,1961,2
Vlaardingen,622,1
Vlissingen,718,2
Voorst,285,1
Vught,865,2
Waalre,866,1
Waalwijk,867,9
Waddinxveen,627,1
Wassenaar,629,1
Waterland,852,1
West Betuwe,1960,3
West Maas en Waal,668,2
Westvoorne,614,1
Wijchen,296,3
Wijk bij Duurstede,352,2
Woerden,632,2
Woudenberg,351,1
Zaanstad,479,2
Zaltbommel,297,1
Zeewolde,50,1
Zeist,355,4
Zundert,879,3
Zwartewaterland,1896,2
Zwolle,193,2
